timestamp,poiActvPwr,pvActvPwr,essPcsActvPwr,NETLOAD
2025-10-19 09:30:00,11.88964512057938,0.40492328960839874,0.0,12.294568410187779
2025-10-19 10:00:00,13.016385782421,0.17237353792052723,0.0,13.188759320341529
2025-10-19 10:30:00,19.13722259852621,6.732419921267364,-12.143333333333333,13.726309186460242
2025-10-19 11:00:00,11.081854733710424,3.532445789717051,-0.2662590327959978,14.348041490631477
2025-10-19 11:30:00,10.042472015354369,2.304491101163957,0.0,12.346963116518324
2025-10-19 12:00:00,10.4340259370173,2.3009833144339806,0.0,12.735009251451281
2025-10-19 12:30:00,10.128177121455566,2.293371866591246,0.0,12.421548988046812
2025-10-19 13:00:00,10.111747529639137,2.4148105578372876,-0.03666666666666667,12.489891420809759
2025-10-19 13:30:00,10.991937582727404,2.753059477831603,0.0,13.744997060559008
2025-10-19 14:00:00,10.833631856498485,2.381717064343869,0.0,13.215348920842354
2025-10-19 14:30:00,11.109859288930894,2.9273133312248523,0.0,14.037172620155745
2025-10-19 15:00:00,11.399388950092385,3.4500100051465465,-0.26570316842690384,14.583695786812028
2025-10-19 15:30:00,11.359867075019412,3.730951657957501,-0.5644444444444444,14.52637428853247
2025-10-19 16:00:00,11.360303901976648,2.8473679861835537,0.0,14.207671888160203
2025-10-19 16:30:00,10.67921034918891,2.735196668157975,0.0,13.414407017346885
2025-10-19 17:00:00,11.565283250517153,0.9409488633217051,0.0,12.506232113838857
2025-10-19 17:30:00,13.905600386636001,-0.19740522379938796,0.0,13.708195162836613
2025-10-19 18:00:00,13.507243916193644,-0.17509777480529415,0.0,13.33214614138835
2025-10-19 18:30:00,13.002704885418114,-0.1750978291564812,0.0,12.827607056261632
2025-10-19 19:00:00,13.50329891734653,-0.17499999701976776,0.0,13.328298920326763
2025-10-19 19:30:00,12.817035027780156,-0.17499999701976776,0.0,12.642035030760388
2025-10-19 20:00:00,12.955436647203234,-0.17499999701976776,0.0,12.780436650183466
2025-10-19 20:30:00,13.227407409324455,0.16468871314867528,0.0,13.39209612247313
2025-10-19 21:00:00,12.402643255127801,0.17509777480529415,0.0,12.577741029933096
2025-10-19 21:30:00,12.51507720926061,0.17499999701976776,0.0,12.690077206280378
2025-10-19 22:00:00,13.052493543874032,0.17499999701976776,0.0,13.2274935408938
2025-10-19 22:30:00,13.378333419164022,0.17509777480529415,0.0,13.553431193969317
2025-10-19 23:00:00,13.04863374401557,0.1750978291564812,0.0,13.223731573172051
2025-10-19 23:30:00,13.56287392033471,0.17519555259082054,0.0,13.73806947292553
2025-10-20 00:00:00,12.759379600007511,0.17499999701976776,0.0,12.934379597027279
2025-10-20 00:30:00,12.901720026863947,0.17499999701976776,0.0,13.076720023883714
2025-10-20 01:00:00,13.39354085365622,0.17499999701976776,0.0,13.568540850675987
2025-10-20 01:30:00,13.04863374401557,0.17499999701976776,0.0,13.223633741035338
2025-10-20 02:00:00,14.165526773134868,0.17499999701976776,0.0,14.340526770154636
2025-10-20 02:30:00,14.53198395178277,0.17499999701976776,0.0,14.706983948802538
2025-10-20 03:00:00,13.474046801461114,0.17548888594739967,0.0,13.649535687408514
2025-10-20 03:30:00,13.127787715663771,0.17676097548060976,0.0,13.304548691144381
2025-10-20 04:00:00,13.850013376871745,0.17861777508424387,0.0,14.028631151955988
2025-10-20 04:30:00,12.808240140392225,0.18184824658970888,0.0,12.990088386981935
2025-10-20 05:00:00,13.99158647101478,0.1888921604330769,0.0,14.180478631447858
2025-10-20 05:30:00,13.400796762572394,0.18976444263425138,0.0,13.590561205206646
2025-10-20 06:00:00,13.213782192270513,0.18625069274181388,0.0,13.400032885012326
2025-10-20 06:30:00,16.342605645952123,0.3810344632630086,0.0,16.723640109215133
2025-10-20 07:00:00,42.8070844607883,3.0628566577451095,0.0,45.86994111853341
2025-10-20 07:30:00,53.91140398891718,11.036319085927458,0.0,64.94772307484463
2025-10-20 08:00:00,69.33937198215061,13.344031635390389,0.0,82.683403617541
2025-10-20 08:30:00,261.33320754657126,39.53250864971473,0.0,300.865716196286
2025-10-20 09:00:00,300.29526378553135,97.7321163769097,0.0,398.02738016244103
2025-10-20 09:30:00,312.968288430108,79.61521742078993,0.0,392.5835058508979
2025-10-20 10:00:00,247.6068167143096,119.59320697498163,0.0,367.20002368929124
2025-10-20 10:30:00,247.773959274292,97.88790487077502,8.039444444444445,353.7013085895115
2025-10-20 11:00:00,242.25912376348677,136.8816277894661,6.093385214007782,385.23413676696066
2025-10-20 11:30:00,282.2295614754643,78.92226970984314,0.0,361.15183118530746
2025-10-20 12:00:00,238.9272708161672,113.03379727257622,0.0,351.96106808874345
2025-10-20 12:30:00,27.96813379320057,102.80917606491589,-13.872707059477488,116.90460279863896
2025-10-20 13:00:00,36.47581141401888,89.31818099602386,-0.020011117287381877,125.77398129275535
2025-10-20 13:30:00,245.28860109117295,129.69444418165418,0.0,374.9830452728271
2025-10-20 14:00:00,275.09572684016075,126.29323528898365,0.0,401.3889621291444
2025-10-20 14:30:00,333.5171226840549,70.65819888220894,0.0005555555555555556,404.1758771218194
2025-10-20 15:00:00,331.2568136812118,35.148435327594584,0.0,366.4052490088064
2025-10-20 15:30:00,330.659684193929,18.26846499549018,0.042222222222222223,348.97037141164145
2025-10-20 16:00:00,390.16942044693343,24.531046131042853,3.1356309060589216,417.8360974840352
2025-10-20 16:30:00,388.2856663682726,9.305368291536967,0.9161111111111111,398.50714577092066
2025-10-20 17:00:00,363.0918803700081,2.226438585405816,1.3090605892162313,366.6273795446301
